,id,text,Unnamed: 2,amir,charles,moindze,sent_id,question_id,label,similarity
11,475,La CPAM ne voulait pas me payer et mon employeur ne voulait pas que je travaille et avec 3 vertèbres fracturées et un burn out avant ne pouvant presque pas marcher j'ai demandé une rupture conventionnelle car impossible de vivre sans argent.,12,inclassable,avis acceptable,inclassable,4,UHJvcG9zYWw6MTE4NTkyNTUtMWUzYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,inclassable,
12,476,Suppression de toutes ces commissions nationales qui ne servent a rien.,13,dissident,avis acceptable,dissident,1,UHJvcG9zYWw6YTgwMDUyNGItMWUyYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
13,477,Suppression de toutes les instances qui ne servent à rien (haute autorité  commissions etc.),14,inclassable,dissident,dissident,0,UHJvcG9zYWw6OTVlZWQzYzctMWUyZC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
14,478,"L’etat Est très lourdement endetté ,cette dette pèse sur tous  les citoyens qui payent l.impot.il faut réduire la voilure pour l’adapter au monde moderne en fonction de l’efficacité de l’institution.",15,avis acceptable,avis acceptable,avis acceptable,0,UHJvcG9zYWw6YWI4MWRjN2QtMWUyNy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
15,479,le sénat ne sert à rien et devrait disparaître.,16,dissident,avis acceptable,dissident,2,UHJvcG9zYWw6YzM0OGYyNDAtMWUyMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
16,480,Inéligibilité à vie pour toute condamnation,17,dissident,avis acceptable,avis acceptable,9,UHJvcG9zYWw6ZGMxYWE4ZjUtMWUyMy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
17,481,"Nous sommes partis dans une complexité extrême mais pire que tout, l’administration française fonctionne complètement en silo.",18,avis acceptable,avis acceptable,dissident,3,UHJvcG9zYWw6NzE2OGJlN2MtMWUzZC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
18,482,Le bilan de cette colonne est donc égal à 0.,19,inclassable,dissident,inclassable,17,UHJvcG9zYWw6YzZjZTk4NWEtMWUzYS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,inclassable,
19,483,La gestion des services déconcentrés par ETP est une catastrophe en gestion de masse salariale.,20,dissident,avis acceptable,dissident,3,UHJvcG9zYWw6MjgzN2ExYTItMWUzYy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
20,484,Mauvais.,21,inclassable,dissident,inclassable,0,UHJvcG9zYWw6OGFhYTFiNDQtMWUzZi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
21,485,Ecrasé par les impôts!,22,inclassable,avis acceptable,avis acceptable,11,UHJvcG9zYWw6MGU1MmM4YTAtMWUyZC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
22,486,"Mauvaise répartition des services, lourdeurs, incompétences.",23,dissident,avis acceptable,avis acceptable,0,UHJvcG9zYWw6MDZhYjNmMWItMWUzNi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
23,487,Notre état est en quasi-faillite parce qu'il est dangereux de ne pas dépenser son propre argent quand on est sous un mandat électif .,24,avis acceptable,avis acceptable,avis acceptable,0,UHJvcG9zYWw6NDc5NWRhNmMtMWUyOS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
24,488,"Le Sénat est totalement déconnecté de la population de part le suffrage universel, ne sert guère qu'à ralentir l'appareil législatif en instaurant des délais sur des votes sur lesquels il n'aura pas le dernier mot.",25,avis acceptable,avis acceptable,dissident,0,UHJvcG9zYWw6NTQxZjQxNDMtMWUzZi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
25,489,Elle rend cette diplomatie illisible et non respectable pour ses partenaires et pour ses citoyens.,26,inclassable,avis acceptable,dissident,9,UHJvcG9zYWw6NWRlNjFiY2YtMWUzOS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
26,490,"Récupérer notre patrimoine, arrêter d’emprunter à des taux excessifs et ne plus verser de subventions aux autres nations tant que notre propre pays n’émerge pas.",27,avis acceptable,avis acceptable,avis acceptable,1,UHJvcG9zYWw6ZDc3NjgxMGUtMWUyOS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
27,491,Il y a une très mauvaise organisation des services de l'état et des administrations.,29,avis acceptable,avis acceptable,avis acceptable,0,UHJvcG9zYWw6MTc2Zjc5ODQtMWUyZS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
28,492,Des milliers de projets ruraux sont bloqués alors qu’une grande partie des agriculteurs sont dans une situation catastrophique,30,inclassable,avis acceptable,avis acceptable,14,UHJvcG9zYWw6YzU3YWFlYzgtMWUzYy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
29,493,Quelle incompétente incompréhension !,31,dissident,dissident,dissident,4,UHJvcG9zYWw6YjRjOGRmMGYtMWUyMy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
30,494,"Toute personne ayant récemment obtenue, ou en cours d'obtention de la nationalité Francasie, devrait systématiquement être déchue de ses droits et renvoyée dans son pays.",32,inclassable,avis acceptable,inclassable,8,UHJvcG9zYWw6ZmVhZmU5ZTctMWUyOS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
31,495,- Suppression de toutes les autorités/comités Théodule jugés inutiles par la Cour des Comptes / retour de leurs compétences aux ministères régaliens.,33,avis acceptable,avis acceptable,dissident,4,UHJvcG9zYWw6ZGMxYWE4ZjUtMWUyMy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
32,496,"Soit ceux qui valident ces versements sont incompétents ou s'en moquent, soit ils sont complices!",34,dissident,dissident,dissident,3,UHJvcG9zYWw6ZTg2ZTg5ZjEtMWUyYy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
33,497,"Pour preuve, tout ce qui a été fait d'autre n'a mené& à rien pour ces hommes qui n'en sont plus et ne font que récidiver avec à chaque fois des vies innocentes brisées.",35,dissident,avis acceptable,dissident,5,UHJvcG9zYWw6ZmVhZmU5ZTctMWUyOS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
34,498,JE NE SUPPORTE PAS CETTE INJUSTICE LA CPAM PRATIQUE UN ABUS DE POUVOIR CARACTÉRISÉ.,36,dissident,dissident,dissident,16,UHJvcG9zYWw6MTE4NTkyNTUtMWUzYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
35,499,"Dans son dernier rapport, elle a jugé cette société publique inutile et susceptible de faire courir des risques financiers à l'Etat.",37,dissident,avis acceptable,inclassable,37,UHJvcG9zYWw6MTI5MGExOTYtMWUzZS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
36,500,"La planification a montré son échec en URSS, le monde moderne évoluant tellement vite, il est à la fois ridicule et follement orgueilleux de prétendre pouvoir définir un cadre planificateur sur plusieurs années, quel que soit le domaine.",38,avis acceptable,avis acceptable,avis acceptable,0,UHJvcG9zYWw6YzAzZThhMzktMWUzZi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
37,501,"Trop d’élus de tous les bords mis en examen, condamnés.",39,dissident,avis acceptable,avis acceptable,24,UHJvcG9zYWw6OWY2M2FlNmEtMWUzMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
38,502,"), est incompréhensible, voir inadmissible aux yeux de tous les français.",40,dissident,avis acceptable,dissident,2,UHJvcG9zYWw6MjE5ZWNmYmItMWUzOC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
39,503,"désertion des services publics dans les campagnes, lourdeur excessive des procédures administratives, trop de recours à internet qui laissent sur le bord de la route les non initiés aux nouvelles technologies",41,avis acceptable,avis acceptable,avis acceptable,0,UHJvcG9zYWw6NWRjNGI3ZDMtMWUzZC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
40,504,Cette organisation est illisible pour le citoyen et coûteuse pour le contribuable.,42,avis acceptable,avis acceptable,dissident,1,UHJvcG9zYWw6OGMyMTIyZmMtMWUzNC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
41,505,- Suppression du Conseil économique et social (c'est quoi ce truc qui ne sert à rien !!??),43,dissident,dissident,dissident,5,UHJvcG9zYWw6MWE0ZmE1NzMtMWUyNi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
42,506,"mauvaise organisation, prendre en considération chaque administration",44,avis acceptable,avis acceptable,avis acceptable,0,UHJvcG9zYWw6NjYyZTRjOTItMWUyYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
43,507,"Faute de publication de tous les décrets, la loi entière devient caduque.",45,avis acceptable,avis acceptable,avis acceptable,5,UHJvcG9zYWw6ODI2NmRiODMtMWUyYy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
44,508,Il s'agit d'une absurdité où les mêmes choses sont faites par de nombreux services.,46,dissident,avis acceptable,dissident,0,UHJvcG9zYWw6N2M1NTk3ZDMtMWUyYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
45,509,"qui ne font pas avancer le pays, qui sont là seulement pour toucher leur salaire et pire ils ont une retraite pour des postes où ils n'ont même pas travailler pleinement.",47,dissident,dissident,dissident,1,UHJvcG9zYWw6OWU2OWZiMWMtMWUyYS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
46,510,"inefficace, couteuse, souvent corrompue",48,dissident,dissident,dissident,0,UHJvcG9zYWw6ZmYzMDBiZDYtMWUzMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
47,511,Trop de postes qui ne servent a rien (COPINAGE),49,dissident,dissident,dissident,0,UHJvcG9zYWw6MDdjMjM3NTctMWUzYy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
48,512,"Décentralisation non maîtrisée, source d'inégalités territoriales Mille-feuilles inefficient des échelons locaux des collectivités",50,avis acceptable,avis acceptable,avis acceptable,0,UHJvcG9zYWw6YmFmZTlkMGUtMWUyYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
49,513,"Les personnes qui grillent les feux rouges en remontant les files à contre sens en ville ou font du 'gymcana' sans clignotants, sont bien plus dangereuses que la personne qui va rouler à 180 sans aucune agressivité sur une autoroute déserte.",51,inclassable,avis acceptable,avis acceptable,12,UHJvcG9zYWw6NjNjZGEzNGYtMWUyZC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
50,514,Je ne peux plus conduire j'ai tout perdu mon boulot (il me restait 3 ans) je ne peux plus pratiquer mes passions je n'arrive même pas à faire le ménage chez moi sans m'asseoir où même m' allonger toutes les 10 minutes.,52,inclassable,avis acceptable,inclassable,13,UHJvcG9zYWw6MTE4NTkyNTUtMWUzYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
51,515,"Après l'héritage de deux appretements, nous avions dépassé le seuil (ridicule et factice' des 1.3M, ce qui s'est soldé par deux mois supplémentaires de salaire en moins!",53,inclassable,avis acceptable,inclassable,10,UHJvcG9zYWw6MGU1MmM4YTAtMWUyZC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
52,516,"Pour les Sénateurs (nombre 348) ils ont droit à 40 aller-retour en avion plus carte SNCF illimitée, à une indemnité de 5500€ plus frais non imposable de 6000€ plus 7500€ pour payer assistants plus 10.000€ tous les 6 ans pour changer matériel informatique plus 1 forfait de téléphone plus les nuits d’hôtel les jours de séance soit en tout 23.500€, est ce normal, stop à tous ces privilèges.",54,dissident,avis acceptable,dissident,14,UHJvcG9zYWw6OWY2M2FlNmEtMWUzMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
53,517,"Ne pas se satisfaire d’une simple déclaration sur l’honneur en la matière…   Aucun haut fonctionnaire ou président et membres de commission, comité, conseil, président d’administration, haute autorité, etc… ne percevra un salaire brut supérieur à 5 x SMIC (veiller et surveiller leur indépendance par un autre biais que celui là qui ne la garantie pas!).",55,dissident,avis acceptable,inclassable,49,UHJvcG9zYWw6MDgzNzJhZTAtMWUyOC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
54,518,Nos impôts ne doivent pas servir au blanchiment des trafics en tout genre!,56,dissident,dissident,dissident,0,UHJvcG9zYWw6ZTg2ZTg5ZjEtMWUyYy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
55,519,"personne n est responsable sauf le lampiste les ""responsables"" sont trop payés il s est crée une caste d énarques tous formés par la même école ayant de ce fait les mêmes idées et incapables d en avoir d autres et ayant fortement tendance a prendre les gens pour des imbéciles.",57,dissident,dissident,dissident,1,UHJvcG9zYWw6NDI2Y2RmNGMtMWUyYS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
56,520,"Trop coûteuse et inefficace par rapport au nombre de fonctionnaires (et par rapport à l'Allemagne par exemple) temps de travail comme dans le privé 35 h réel, même retraite que dans le privé (25 année les meilleures) même age de départ à la retraite ( éventuellement aménager des postes pour les seniors) augmenter les heures de travail des enseignants et les évaluer au mérite; baisser les salaires des hauts fonctionnaires au niveau du président de la république; éliminer tous les milles feuilles administratifs (les communautés de communes font le travail de pole emploi avec du personnel en plus) , sanctionner durement les fonctionnaires qui ne font pas leur travail avec un licenciement; train de vie del'état à baisser et être exemplaire; réduire le coût des protocoles ( défilé du 14 juillet tous les 2 à 3 ans); anciens présidents et ministres sans privilèges(ils peuvent subvenir largement à leurs besoins) revoir le statut des fonctionnaires faire comme dans le privé (mobilité et rendre des comptes aux citoyens);réduire le nombre d'élus et leurs dépenses ainsi que leur retraite; punir le copinage, les abus de confiance, le pantouflage, interdire les contacts proches des affaires pour éviter la corruption .",58,avis acceptable,avis acceptable,avis acceptable,0,UHJvcG9zYWw6ZTVlNTFjYzMtMWUzNC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
57,521,"Au lieu de sanctionner ne peut-on s'occuper de ces enfants abandonnés, rejetés, maltraités, violentés, isolés ?",59,inclassable,avis acceptable,avis acceptable,4,UHJvcG9zYWw6M2E1MzhkZWQtMWUyYy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
58,522,Je suis restée 8 mois sans aucun salaire et dans une situation intenable.,60,inclassable,avis acceptable,avis acceptable,3,UHJvcG9zYWw6MTE4NTkyNTUtMWUzYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
59,523,On devrait supprimer le Sénat qui n'est d'aucune utilité et réduire d'au moins 1/3 le nombre de députés.,61,avis acceptable,avis acceptable,dissident,0,UHJvcG9zYWw6N2FhOWJhNDAtMWUyOC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
60,524,En cause : des lenteurs administratives et un logiciel défectueux.,62,avis acceptable,avis acceptable,avis acceptable,13,UHJvcG9zYWw6YzU3YWFlYzgtMWUzYy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
61,525,"Trop de monde, trop de blabla, trop d'argent dilapidé",63,dissident,dissident,dissident,0,UHJvcG9zYWw6MjE4Yjg3YWYtMWUzMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
62,526,Il y a un gaspillage énorme d'argent publique à chaque échelon des administrations.,64,dissident,avis acceptable,avis acceptable,3,UHJvcG9zYWw6NDIzOTJkZWUtMWUzNy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
63,527,tout cela est très mal géré et il y a un grand manque de communication entre elles.,65,avis acceptable,avis acceptable,avis acceptable,0,UHJvcG9zYWw6NTFjYjA1MzEtMWUzNC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
64,528,Ils ne doivent être remboursé que sur justificatif systématiquement vérifié.,66,avis acceptable,avis acceptable,avis acceptable,5,UHJvcG9zYWw6NGVlM2QxOTctMWUzMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
65,529,comme des œuvres d'art immondes a plusieurs centaines de milliers d'euros.,67,dissident,inclassable,dissident,3,UHJvcG9zYWw6Y2QwMzM1ZDMtMWUzMS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
66,530,C'est un sac de nœud incompréhensible et opaque,68,inclassable,dissident,dissident,0,UHJvcG9zYWw6NDljOTExZDAtMWUzYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
67,531,+ 1 mois en taxe foncières car je suis proprio et endetté pour 20 ans.,69,inclassable,avis acceptable,inclassable,8,UHJvcG9zYWw6MGU1MmM4YTAtMWUyZC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
68,532,"Corvette) paiera 4 fois plus que certaines voitures de 300K euros, et la même chose qu'une voiture de 3 millions d'euros!",70,inclassable,avis acceptable,inclassable,7,UHJvcG9zYWw6NDE1YmI1NjktMWUyZC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
69,533,"Ceci est un principe injuste car une fois les impôts et taxes payées au Trésor Public, il reste souvent moins aux personnes qui paient les impôts et qui n'ont droit à RIEN, qu'à ceux qui ne paient pas l'impôt sur le revenu!",71,dissident,avis acceptable,dissident,15,UHJvcG9zYWw6OTJhNTcxMmUtMWUyZC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
70,534,* Tirer parti du numérique,72,avis acceptable,avis acceptable,inclassable,1,UHJvcG9zYWw6OTJjMjY1YWYtMWUzYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
71,535,L'Etat est trop éloigné des citoyens Paris n'est pas la France.,73,avis acceptable,avis acceptable,avis acceptable,0,UHJvcG9zYWw6OWQ3YTM1YmQtMWUzZS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
72,536,Avoir seulement 40% des gens qui paient l'impôt sur le revenu est intolérable et accroit les inégalités et l'injustice en matière d'impôts.,74,dissident,avis acceptable,inclassable,2,UHJvcG9zYWw6OTJhNTcxMmUtMWUyZC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
73,537,Trop compliquée et incohérente.,75,inclassable,avis acceptable,inclassable,0,UHJvcG9zYWw6Nzk5YjgzMGUtMWUyZi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
74,538,Son utilité est nulle ou presque.,76,dissident,dissident,dissident,3,UHJvcG9zYWw6YWQyYmIwZTktMWUyNS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
75,539,"Celle-ci ne sert à rien, des économies pourrait être fait en la supprimant.",77,dissident,inclassable,dissident,4,UHJvcG9zYWw6ZGMzY2RjOTctMWUzMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
76,540,"1 tiers de fonctionnaires d'état (désignés par gouvernement et Assemblée Nle), 1 tiers de les délégués syndicaux et 1 tiers de citoyens tirés au sort.",78,avis acceptable,avis acceptable,avis acceptable,10,UHJvcG9zYWw6NWY2M2ViZGQtMWUyYS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
77,541,et arrêter de re-taxer les gens sur des biens achetés avec de l'argent déjà taxé!,79,inclassable,avis acceptable,avis acceptable,2,UHJvcG9zYWw6MGU1MmM4YTAtMWUyZC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
78,542,Un gilet jaune demandait à un ministre que leurs salaires soient abaissés à 2000€ !,80,inclassable,avis acceptable,inclassable,6,UHJvcG9zYWw6OWY2M2FlNmEtMWUzMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
79,543,Mauvaise répartition du personnel administratif.,81,inclassable,avis acceptable,avis acceptable,1,UHJvcG9zYWw6MmZmZTllNTEtMWUzMy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
80,544,"Structuration de l’état : Réduire à 4 le nombre « d’étages » Etat, Région, Communauté de communes, commune (ces dernières devant se regrouper pour atteindre un seuil permettant un minimum « vital » : cabinet médical, pharmacie, école maternelle et primaire, et un lieu permettant de regrouper : poste, services informatique, pain, tabac, alimentation +)  Supprimer tout double emploi et toutes ces commissions inutiles.",82,avis acceptable,avis acceptable,avis acceptable,0,UHJvcG9zYWw6Mzk3MGUzN2QtMWUyZC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
81,545,"Le problème de la France, c'est l'état : sa taille, ses missions jamais évaluées, ses fonctionnaires inefficaces Dans l'administration 1/4 des jobs sont des ""bullshit jobs"" L’État est contrôlé par les grands corps qui n'ont aucune légitimité démocratique, mais un maximum de privilèges Fusionner les communes rurales pour parvenir à 1 canton = 1 commune Supprimer les intercommunalités Supprimer les régions  Ne conserver que 3 niveaux, état, département, commune",83,dissident,dissident,dissident,0,UHJvcG9zYWw6NDY1MDdjOWYtMWUzMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
82,546,"Ce prix était un déficit démocratique reconnu par tous les experts de droit constitutionnel, dans plusieurs domaines , et particulièrement par un déséquilibre voulu entre exécutif et législatif : pouvoirs démesurés du President non compensés par des  procédures de destitution adéquates,( irresponsabilité ,  article 16 .)",84,avis acceptable,avis acceptable,inclassable,2,UHJvcG9zYWw6NmZkZWNjZTgtMWUyNy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
83,547,"Mettez une forte amende, mais saisir le bien de seulement quelques personnes est inacceptable et injuste!",85,inclassable,avis acceptable,dissident,13,UHJvcG9zYWw6NDE1YmI1NjktMWUyZC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
84,548,"Trop de privilèges, les élus sont déconnectés par le pouvoir et ce à tous les niveaux y compris local (mairie)",86,dissident,dissident,dissident,0,UHJvcG9zYWw6NzkzZWNkMzYtMWUzYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
85,549,Démarches trop complexe et imbuvable!!!,87,dissident,avis acceptable,avis acceptable,1,UHJvcG9zYWw6Y2Q3ZmY2ZmMtMWUzMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
86,550,COMMENT JE VIS AVEC ZÉRO EURO PENDANT 2 ANS JE N'Y SURVIVRAIS PAS.,88,inclassable,avis acceptable,inclassable,19,UHJvcG9zYWw6MTE4NTkyNTUtMWUzYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
87,551,Le contrôle de légalité est une blague.,89,dissident,avis acceptable,dissident,2,UHJvcG9zYWw6NDIzOTJkZWUtMWUzNy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
88,552,"trop compliquée, suppression senat, diminution député, diminution de moitié des conseillers departementaux, idem pour les conseillers regionaux.",90,avis acceptable,avis acceptable,dissident,0,UHJvcG9zYWw6YTgwMDUyNGItMWUyYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
89,553,et ne les met pas en application.,91,inclassable,inclassable,inclassable,1,UHJvcG9zYWw6NjNkYzM0MTUtMWUzYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,inclassable,
90,554,beaucoup de services inutiles crées uniquement pour placer sa progéniture ou ses copains.,92,dissident,dissident,dissident,0,UHJvcG9zYWw6NDI2Y2RmNGMtMWUyYS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
91,555,"Trop compliquée, trop stratifiée et trop coûteuse.",93,avis acceptable,avis acceptable,avis acceptable,0,UHJvcG9zYWw6MWU3OGQ3NGMtMWUzMC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
92,556,- Arrêter de payer les députés qui ne sont pas a l'assemblée.,94,dissident,avis acceptable,avis acceptable,0,UHJvcG9zYWw6NzA5YWFlM2ItMWUzOS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
93,557,"Trop de strates, trop d'incompréhension, trop de mauvaises volontés, trop de mépris du ""client""",95,dissident,dissident,avis acceptable,2,UHJvcG9zYWw6YTUzODc0YzUtMWUzYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident,
94,558,"- Fusionner l'assemblée nationale et le Sénat et arrêter totalement le CESE (Conseil Economique, Social et Environnemental) qui nous coutent un bras : 38 millions d'euros (rien que pour le CESE) et plus de 140 agents employés : Sur les saisines en cours en 2016, il n'y a eu qu'une seule saisine gouvernementale et une saisine permanente .",96,avis acceptable,avis acceptable,dissident,2,UHJvcG9zYWw6NzA5YWFlM2ItMWUzOS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
95,559,trop de sénateurs et députés;macron s'est fait élire en proposant le modèle économique de l’Allemagne;il ne l'a pas fait au niveau du sénat et de l'assemblée nationale en supprimant des centaines des ces personnes qui ne servent pas toutes à quelque chose sinon endetté l'état,97,avis acceptable,avis acceptable,dissident,0,UHJvcG9zYWw6OGZjYjI2MGYtMWUyOC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident,
