id,text,moindze,amir,charles,final
86,La gestion des services déconcentrés par ETP est une catastrophe en gestion de masse salariale.,dissident,dissident,avis acceptable,dissident
87,Mauvais.,inclassable,inclassable,dissident,dissident
88,Ecrasé par les impôts!,avis acceptable,inclassable,avis acceptable,avis acceptable
89,"Mauvaise répartition des services, lourdeurs, incompétences.",avis acceptable,dissident,avis acceptable,dissident
90,Notre état est en quasi-faillite parce qu'il est dangereux de ne pas dépenser son propre argent quand on est sous un mandat électif .,avis acceptable,avis acceptable,avis acceptable,avis acceptable
91,"Le Sénat est totalement déconnecté de la population de part le suffrage universel, ne sert guère qu'à ralentir l'appareil législatif en instaurant des délais sur des votes sur lesquels il n'aura pas le dernier mot.",dissident,avis acceptable,avis acceptable,dissident
92,Elle rend cette diplomatie illisible et non respectable pour ses partenaires et pour ses citoyens.,dissident,inclassable,avis acceptable,avis acceptable
93,"Récupérer notre patrimoine, arrêter d’emprunter à des taux excessifs et ne plus verser de subventions aux autres nations tant que notre propre pays n’émerge pas.",avis acceptable,avis acceptable,avis acceptable,avis acceptable
94,"Trop de personnes ne font rien et ,parfois, sont payés très cher pour être inactifs .Supprimer tous les postes qui ne servent à rien .",dissident,dissident,dissident,dissident
95,Il y a une très mauvaise organisation des services de l'état et des administrations.,avis acceptable,avis acceptable,avis acceptable,avis acceptable
96,Des milliers de projets ruraux sont bloqués alors qu’une grande partie des agriculteurs sont dans une situation catastrophique,avis acceptable,inclassable,avis acceptable,avis acceptable
97,Quelle incompétente incompréhension !,dissident,dissident,dissident,dissident
98,"Toute personne ayant récemment obtenue, ou en cours d'obtention de la nationalité Francasie, devrait systématiquement être déchue de ses droits et renvoyée dans son pays.",inclassable,inclassable,avis acceptable,avis acceptable
99,- Suppression de toutes les autorités/comités Théodule jugés inutiles par la Cour des Comptes / retour de leurs compétences aux ministères régaliens.,dissident,avis acceptable,avis acceptable,avis acceptable
100,"Soit ceux qui valident ces versements sont incompétents ou s'en moquent, soit ils sont complices!",dissident,dissident,dissident,dissident
101,"Pour preuve, tout ce qui a été fait d'autre n'a mené& à rien pour ces hommes qui n'en sont plus et ne font que récidiver avec à chaque fois des vies innocentes brisées.",dissident,dissident,avis acceptable,avis acceptable
102,JE NE SUPPORTE PAS CETTE INJUSTICE LA CPAM PRATIQUE UN ABUS DE POUVOIR CARACTÉRISÉ.,dissident,dissident,dissident,dissident
103,"Dans son dernier rapport, elle a jugé cette société publique inutile et susceptible de faire courir des risques financiers à l'Etat.",inclassable,dissident,avis acceptable,avis acceptable
104,"La planification a montré son échec en URSS, le monde moderne évoluant tellement vite, il est à la fois ridicule et follement orgueilleux de prétendre pouvoir définir un cadre planificateur sur plusieurs années, quel que soit le domaine.",avis acceptable,avis acceptable,avis acceptable,avis acceptable
105,"Trop d’élus de tous les bords mis en examen, condamnés.",avis acceptable,dissident,avis acceptable,avis acceptable
106,"), est incompréhensible, voir inadmissible aux yeux de tous les français.",dissident,dissident,avis acceptable,dissident
107,"désertion des services publics dans les campagnes, lourdeur excessive des procédures administratives, trop de recours à internet qui laissent sur le bord de la route les non initiés aux nouvelles technologies",avis acceptable,avis acceptable,avis acceptable,avis acceptable
108,Cette organisation est illisible pour le citoyen et coûteuse pour le contribuable.,dissident,avis acceptable,avis acceptable,avis acceptable
109,- Suppression du Conseil économique et social (c'est quoi ce truc qui ne sert à rien !!??),dissident,dissident,dissident,dissident
110,"mauvaise organisation, prendre en considération chaque administration",avis acceptable,avis acceptable,avis acceptable,avis acceptable
111,"Faute de publication de tous les décrets, la loi entière devient caduque.",avis acceptable,avis acceptable,avis acceptable,avis acceptable
112,Il s'agit d'une absurdité où les mêmes choses sont faites par de nombreux services.,dissident,dissident,avis acceptable,avis acceptable
113,"qui ne font pas avancer le pays, qui sont là seulement pour toucher leur salaire et pire ils ont une retraite pour des postes où ils n'ont même pas travailler pleinement.",dissident,dissident,dissident,dissident
114,"inefficace, couteuse, souvent corrompue",dissident,dissident,dissident,dissident
115,Trop de postes qui ne servent a rien (COPINAGE),dissident,dissident,dissident,dissident
116,"Décentralisation non maîtrisée, source d'inégalités territoriales Mille-feuilles inefficient des échelons locaux des collectivités",avis acceptable,avis acceptable,avis acceptable,avis acceptable
117,"Les personnes qui grillent les feux rouges en remontant les files à contre sens en ville ou font du 'gymcana' sans clignotants, sont bien plus dangereuses que la personne qui va rouler à 180 sans aucune agressivité sur une autoroute déserte.",avis acceptable,inclassable,avis acceptable,avis acceptable
118,Je ne peux plus conduire j'ai tout perdu mon boulot (il me restait 3 ans) je ne peux plus pratiquer mes passions je n'arrive même pas à faire le ménage chez moi sans m'asseoir où même m' allonger toutes les 10 minutes.,inclassable,inclassable,avis acceptable,avis acceptable
119,"Après l'héritage de deux appretements, nous avions dépassé le seuil (ridicule et factice' des 1.3M, ce qui s'est soldé par deux mois supplémentaires de salaire en moins!",inclassable,inclassable,avis acceptable,avis acceptable
120,"Pour les Sénateurs (nombre 348) ils ont droit à 40 aller-retour en avion plus carte SNCF illimitée, à une indemnité de 5500€ plus frais non imposable de 6000€ plus 7500€ pour payer assistants plus 10.000€ tous les 6 ans pour changer matériel informatique plus 1 forfait de téléphone plus les nuits d’hôtel les jours de séance soit en tout 23.500€, est ce normal, stop à tous ces privilèges.",dissident,dissident,avis acceptable,avis acceptable
121,"Ne pas se satisfaire d’une simple déclaration sur l’honneur en la matière…   Aucun haut fonctionnaire ou président et membres de commission, comité, conseil, président d’administration, haute autorité, etc… ne percevra un salaire brut supérieur à 5 x SMIC (veiller et surveiller leur indépendance par un autre biais que celui là qui ne la garantie pas!).",inclassable,dissident,avis acceptable,avis acceptable
122,Nos impôts ne doivent pas servir au blanchiment des trafics en tout genre!,dissident,dissident,dissident,dissident
123,"personne n est responsable sauf le lampiste les ""responsables"" sont trop payés il s est crée une caste d énarques tous formés par la même école ayant de ce fait les mêmes idées et incapables d en avoir d autres et ayant fortement tendance a prendre les gens pour des imbéciles.",dissident,dissident,dissident,dissident
124,"Trop coûteuse et inefficace par rapport au nombre de fonctionnaires (et par rapport à l'Allemagne par exemple) temps de travail comme dans le privé 35 h réel, même retraite que dans le privé (25 année les meilleures) même age de départ à la retraite ( éventuellement aménager des postes pour les seniors) augmenter les heures de travail des enseignants et les évaluer au mérite; baisser les salaires des hauts fonctionnaires au niveau du président de la république; éliminer tous les milles feuilles administratifs (les communautés de communes font le travail de pole emploi avec du personnel en plus) , sanctionner durement les fonctionnaires qui ne font pas leur travail avec un licenciement; train de vie del'état à baisser et être exemplaire; réduire le coût des protocoles ( défilé du 14 juillet tous les 2 à 3 ans); anciens présidents et ministres sans privilèges(ils peuvent subvenir largement à leurs besoins) revoir le statut des fonctionnaires faire comme dans le privé (mobilité et rendre des comptes aux citoyens);réduire le nombre d'élus et leurs dépenses ainsi que leur retraite; punir le copinage, les abus de confiance, le pantouflage, interdire les contacts proches des affaires pour éviter la corruption .",avis acceptable,avis acceptable,avis acceptable,avis acceptable
125,"Au lieu de sanctionner ne peut-on s'occuper de ces enfants abandonnés, rejetés, maltraités, violentés, isolés ?",avis acceptable,inclassable,avis acceptable,avis acceptable
126,Je suis restée 8 mois sans aucun salaire et dans une situation intenable.,avis acceptable,inclassable,avis acceptable,avis acceptable
127,On devrait supprimer le Sénat qui n'est d'aucune utilité et réduire d'au moins 1/3 le nombre de députés.,dissident,avis acceptable,avis acceptable,dissident
128,En cause : des lenteurs administratives et un logiciel défectueux.,avis acceptable,avis acceptable,avis acceptable,avis acceptable
129,"Trop de monde, trop de blabla, trop d'argent dilapidé",dissident,dissident,dissident,dissident
130,Il y a un gaspillage énorme d'argent publique à chaque échelon des administrations.,avis acceptable,dissident,avis acceptable,dissident
131,tout cela est très mal géré et il y a un grand manque de communication entre elles.,avis acceptable,avis acceptable,avis acceptable,avis acceptable
132,Ils ne doivent être remboursé que sur justificatif systématiquement vérifié.,avis acceptable,avis acceptable,avis acceptable,avis acceptable
133,comme des œuvres d'art immondes a plusieurs centaines de milliers d'euros.,dissident,dissident,inclassable,dissident
134,C'est un sac de nœud incompréhensible et opaque,dissident,inclassable,dissident,dissident
135,+ 1 mois en taxe foncières car je suis proprio et endetté pour 20 ans.,inclassable,inclassable,avis acceptable,avis acceptable
136,"Corvette) paiera 4 fois plus que certaines voitures de 300K euros, et la même chose qu'une voiture de 3 millions d'euros!",inclassable,inclassable,avis acceptable,avis acceptable
137,"Ceci est un principe injuste car une fois les impôts et taxes payées au Trésor Public, il reste souvent moins aux personnes qui paient les impôts et qui n'ont droit à RIEN, qu'à ceux qui ne paient pas l'impôt sur le revenu!",dissident,dissident,avis acceptable,avis acceptable
138,* Tirer parti du numérique,inclassable,avis acceptable,avis acceptable,avis acceptable
139,L'Etat est trop éloigné des citoyens Paris n'est pas la France.,avis acceptable,avis acceptable,avis acceptable,avis acceptable
140,Avoir seulement 40% des gens qui paient l'impôt sur le revenu est intolérable et accroit les inégalités et l'injustice en matière d'impôts.,inclassable,dissident,avis acceptable,avis acceptable
141,Trop compliquée et incohérente.,inclassable,inclassable,avis acceptable,avis acceptable
142,Son utilité est nulle ou presque.,dissident,dissident,dissident,dissident
143,"Celle-ci ne sert à rien, des économies pourrait être fait en la supprimant.",dissident,dissident,inclassable,dissident
144,"1 tiers de fonctionnaires d'état (désignés par gouvernement et Assemblée Nle), 1 tiers de les délégués syndicaux et 1 tiers de citoyens tirés au sort.",avis acceptable,avis acceptable,avis acceptable,avis acceptable
145,et arrêter de re-taxer les gens sur des biens achetés avec de l'argent déjà taxé!,avis acceptable,inclassable,avis acceptable,avis acceptable
146,Un gilet jaune demandait à un ministre que leurs salaires soient abaissés à 2000€ !,inclassable,inclassable,avis acceptable,avis acceptable
147,Mauvaise répartition du personnel administratif.,avis acceptable,inclassable,avis acceptable,avis acceptable
148,"Structuration de l’état : Réduire à 4 le nombre « d’étages » Etat, Région, Communauté de communes, commune (ces dernières devant se regrouper pour atteindre un seuil permettant un minimum « vital » : cabinet médical, pharmacie, école maternelle et primaire, et un lieu permettant de regrouper : poste, services informatique, pain, tabac, alimentation +)  Supprimer tout double emploi et toutes ces commissions inutiles.",avis acceptable,avis acceptable,avis acceptable,avis acceptable
149,"Le problème de la France, c'est l'état : sa taille, ses missions jamais évaluées, ses fonctionnaires inefficaces Dans l'administration 1/4 des jobs sont des ""bullshit jobs"" L’État est contrôlé par les grands corps qui n'ont aucune légitimité démocratique, mais un maximum de privilèges Fusionner les communes rurales pour parvenir à 1 canton = 1 commune Supprimer les intercommunalités Supprimer les régions  Ne conserver que 3 niveaux, état, département, commune",dissident,dissident,dissident,dissident
150,"Ce prix était un déficit démocratique reconnu par tous les experts de droit constitutionnel, dans plusieurs domaines , et particulièrement par un déséquilibre voulu entre exécutif et législatif : pouvoirs démesurés du President non compensés par des  procédures de destitution adéquates,( irresponsabilité ,  article 16 .)",inclassable,avis acceptable,avis acceptable,avis acceptable
151,"Mettez une forte amende, mais saisir le bien de seulement quelques personnes est inacceptable et injuste!",dissident,inclassable,avis acceptable,avis acceptable
152,"Trop de privilèges, les élus sont déconnectés par le pouvoir et ce à tous les niveaux y compris local (mairie)",dissident,dissident,dissident,dissident
153,Démarches trop complexe et imbuvable!!!,avis acceptable,dissident,avis acceptable,avis acceptable
154,COMMENT JE VIS AVEC ZÉRO EURO PENDANT 2 ANS JE N'Y SURVIVRAIS PAS.,inclassable,inclassable,avis acceptable,avis acceptable
155,Le contrôle de légalité est une blague.,dissident,dissident,avis acceptable,dissident
156,"trop compliquée, suppression senat, diminution député, diminution de moitié des conseillers departementaux, idem pour les conseillers regionaux.",dissident,avis acceptable,avis acceptable,avis acceptable
157,et ne les met pas en application.,inclassable,inclassable,inclassable,inclassable
158,beaucoup de services inutiles crées uniquement pour placer sa progéniture ou ses copains.,dissident,dissident,dissident,dissident
159,"Trop compliquée, trop stratifiée et trop coûteuse.",avis acceptable,avis acceptable,avis acceptable,avis acceptable
160,- Arrêter de payer les députés qui ne sont pas a l'assemblée.,avis acceptable,dissident,avis acceptable,avis acceptable
161,"Trop de strates, trop d'incompréhension, trop de mauvaises volontés, trop de mépris du ""client""",avis acceptable,dissident,dissident,dissident
162,"- Fusionner l'assemblée nationale et le Sénat et arrêter totalement le CESE (Conseil Economique, Social et Environnemental) qui nous coutent un bras : 38 millions d'euros (rien que pour le CESE) et plus de 140 agents employés : Sur les saisines en cours en 2016, il n'y a eu qu'une seule saisine gouvernementale et une saisine permanente .",dissident,avis acceptable,avis acceptable,avis acceptable
163,trop de sénateurs et députés;macron s'est fait élire en proposant le modèle économique de l’Allemagne;il ne l'a pas fait au niveau du sénat et de l'assemblée nationale en supprimant des centaines des ces personnes qui ne servent pas toutes à quelque chose sinon endetté l'état,dissident,avis acceptable,avis acceptable,avis acceptable
164,"Trop de députés, sénateurs, trop couteux.",avis acceptable,dissident,avis acceptable,avis acceptable
165,Je me suis donc retrouvée au chômage après 38 ans de carrière.,inclassable,inclassable,avis acceptable,avis acceptable
